"ndcnum","prodnme","gennme"
"62991124304","naltrexone hcl","Naltrexone Hydrochloride"
"62991158301","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"62991158302","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"62991158303","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"62991158304","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"62991158306","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"62991158307","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"62991158308","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"62991312501","naltrexone","Naltrexone Hydrochloride"
"62991312502","naltrexone","Naltrexone Hydrochloride"
"62991312503","naltrexone","Naltrexone Hydrochloride"
"62991312504","naltrexone","Naltrexone Hydrochloride"
"63275987401","naltrexone hcl","Naltrexone Hydrochloride"
"63275987402","naltrexone hcl","Naltrexone Hydrochloride"
"63275987404","naltrexone hcl","Naltrexone Hydrochloride"
"63275987409","naltrexone hcl","Naltrexone Hydrochloride"
"63275988401","buprenorphine","Buprenorphine"
"63275988402","buprenorphine","Buprenorphine"
"63275988404","buprenorphine","Buprenorphine"
"63275988405","buprenorphine","Buprenorphine"
"63275990101","naltrexone hcl","Naltrexone Hydrochloride"
"63275990102","naltrexone hcl","Naltrexone Hydrochloride"
"63275990103","naltrexone hcl","Naltrexone Hydrochloride"
"63275990104","naltrexone hcl","Naltrexone Hydrochloride"
"63275990105","naltrexone hcl","Naltrexone Hydrochloride"
"63275992201","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"63275992202","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"63275992203","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"63275992204","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"63275992205","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"63275992207","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"63275992208","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"63275992209","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"63370015810","naltrexone hcl","Naltrexone Hydrochloride"
"63370015815","naltrexone hcl","Naltrexone Hydrochloride"
"63370015825","naltrexone hcl","Naltrexone Hydrochloride"
"63370015835","naltrexone hcl","Naltrexone Hydrochloride"
"63370090506","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"63370090509","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"63370090510","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"63370090515","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"63459030042","vivitrol","Naltrexone"
"63629104601","naltrexone hcl","Naltrexone Hydrochloride"
"63629104701","naltrexone hcl","Naltrexone Hydrochloride"
"63629403401","suboxone","Buprenorphine/Naloxone"
"63629403402","suboxone","Buprenorphine/Naloxone"
"63629403403","suboxone","Buprenorphine/Naloxone"
"63629409201","subutex","Buprenorphine Hydrochloride"
"63629409202","subutex","Buprenorphine Hydrochloride"
"63629507401","buprenorphine-naloxone","Buprenorphine/Naloxone"
"63629712501","buprenorphine","Buprenorphine Hydrochloride"
"63629712502","buprenorphine","Buprenorphine Hydrochloride"
"63629712503","buprenorphine","Buprenorphine Hydrochloride"
"63629712504","buprenorphine","Buprenorphine Hydrochloride"
"63629712505","buprenorphine","Buprenorphine Hydrochloride"
"63629712506","buprenorphine","Buprenorphine Hydrochloride"
"63629712507","buprenorphine","Buprenorphine Hydrochloride"
"63629712601","buprenorphine","Buprenorphine Hydrochloride"
"63629712602","buprenorphine","Buprenorphine Hydrochloride"
"63629712603","buprenorphine","Buprenorphine Hydrochloride"
"63629712604","buprenorphine","Buprenorphine Hydrochloride"
"63629712605","buprenorphine","Buprenorphine Hydrochloride"
"63629712606","buprenorphine","Buprenorphine Hydrochloride"
"63629712607","buprenorphine","Buprenorphine Hydrochloride"
"63629712608","buprenorphine","Buprenorphine Hydrochloride"
"63629727001","buprenorphine-naloxone","Buprenorphine/Naloxone"
"63629727002","buprenorphine-naloxone","Buprenorphine/Naloxone"
"63874108403","suboxone","Buprenorphine/Naloxone"
"63874108503","suboxone","Buprenorphine/Naloxone"
"63874117303","subutex","Buprenorphine Hydrochloride"
"63874117403","subutex","Buprenorphine Hydrochloride"
"64725093003","buprenorphine","Buprenorphine Hydrochloride"
"64725093004","buprenorphine","Buprenorphine Hydrochloride"
"64725192403","buprenorphine","Buprenorphine Hydrochloride"
"64725192404","buprenorphine","Buprenorphine Hydrochloride"
"65162041503","buprenorphine-naloxone","Buprenorphine/Naloxone"
"65162041509","buprenorphine-naloxone","Buprenorphine/Naloxone"
"65162041603","buprenorphine-naloxone","Buprenorphine/Naloxone"
"65162041609","buprenorphine-naloxone","Buprenorphine/Naloxone"
"65694010003","naltrexone hcl","Naltrexone Hydrochloride"
"65694010010","naltrexone hcl","Naltrexone Hydrochloride"
"65757030001","vivitrol","Naltrexone"
"66336001530","suboxone","Buprenorphine/Naloxone"
"66336001630","suboxone","Buprenorphine/Naloxone"
"68071138003","suboxone","Buprenorphine/Naloxone"
"68071151003","suboxone","Buprenorphine/Naloxone"
"68084029111","naltrexone hcl","Naltrexone Hydrochloride"
"68084029121","naltrexone hcl","Naltrexone Hydrochloride"
"68094085359","naltrexone hcl","Naltrexone Hydrochloride"
"68094085362","naltrexone hcl","Naltrexone Hydrochloride"
"68115068030","naltrexone hcl","Naltrexone Hydrochloride"
"68258299103","buprenorphine","Buprenorphine Hydrochloride"
"68258299903","suboxone","Buprenorphine/Naloxone"
"68308020230","buprenorphine","Buprenorphine Hydrochloride"
"68308020830","buprenorphine","Buprenorphine Hydrochloride"
"68981003701","naltrexone hcl","Naltrexone Hydrochloride"
"68981003702","naltrexone hcl","Naltrexone Hydrochloride"
"69238120202","buprenorphine","Buprenorphine"
"69238120302","buprenorphine","Buprenorphine"
"69238120402","buprenorphine","Buprenorphine"
"69238120502","buprenorphine","Buprenorphine"
"69238150502","buprenorphine","Buprenorphine"
"69364314306","naltrexone","Naltrexone/Triamcinolone"
"70350782001","naltrexone","Naltrexone"
"70518155700","buprenorphine","Buprenorphine Hydrochloride"
"71335035301","buprenorphine","Buprenorphine Hydrochloride"
"71335035302","buprenorphine","Buprenorphine Hydrochloride"
"71335035303","buprenorphine","Buprenorphine Hydrochloride"
"71335035304","buprenorphine","Buprenorphine Hydrochloride"
"71335035305","buprenorphine","Buprenorphine Hydrochloride"
"71335035306","buprenorphine","Buprenorphine Hydrochloride"
"71335035307","buprenorphine","Buprenorphine Hydrochloride"
"71335095001","buprenorphine","Buprenorphine Hydrochloride"
"71335095002","buprenorphine","Buprenorphine Hydrochloride"
"71335095003","buprenorphine","Buprenorphine Hydrochloride"
"71335115401","buprenorphine","Buprenorphine Hydrochloride"
